name,min,max,action,args
SEG_20_5,100,152,CAM_5138,11
SEG_17_1,1,40,CAM_5122,17
SEG_17_1,41,67,CAM_5122,16
SEG_17_1,68,80,CAM_5122,15
SEG_17_1,81,84,CAM_5122,14
SEG_17_1,85,86,CAM_5122,13
SEG_17_1,87,88,CAM_5122,12
SEG_17_1,89,95,CAM_5122,11
SEG_17_2,1,19,CAM_5121,11
SEG_17_3,20,40,CAM_5121,11
SEG_17_3,41,71,CAM_5121,12
SEG_17_4,72,75,CAM_5121,12
SEG_17_4,76,106,CAM_5121,13
SEG_17_4,107,114,CAM_5121,14
SEG_17_4,115,123,CAM_5121,15
SEG_17_4,124,124,CAM_5121,16
SEG_17_4,125,126,CAM_5121,17
SEG_17_5,127,128,CAM_5121,18
SEG_17_5,129,134,CAM_5121,19
SEG_17_5,135,147,CAM_5121,20
SEG_17_5,148,174,CAM_5121,21
SEG_17_9,1,4,CAM_5120,17
SEG_17_9,5,6,CAM_5120,16
SEG_17_9,7,10,CAM_5120,15
SEG_17_9,11,20,CAM_5120,14
SEG_17_9,21,42,CAM_5120,13
SEG_17_8,55,87,CAM_5120,12
SEG_17_9,43,54,CAM_5120,12
SEG_17_7,108,141,CAM_5120,11
SEG_17_8,88,107,CAM_5120,11
SEG_17_6,164,182,CAM_5121,22
SEG_17_7,142,163,CAM_5121,22
SEG_10_2,1,20,CAM_5245,16
SEG_10_1,29,30,CAM_5245,15
SEG_10_2,21,28,CAM_5245,15
SEG_10_1,31,46,CAM_5245,14
SEG_10_1,47,59,CAM_5245,13
SEG_10_1,60,102,CAM_5245,12
SEG_10_3,1,19,CAM_5245,17
SEG_10_3,20,44,CAM_5245,18
SEG_10_3,45,49,CAM_5245,19
SEG_10_4,50,60,CAM_5245,19
SEG_10_4,61,69,CAM_5235,11
SEG_10_4,70,93,CAM_5235,12
SEG_10_4,94,108,CAM_5235,13
SEG_10_5,109,122,CAM_5235,13
SEG_10_6,123,123,CAM_5235,13
SEG_10_6,124,161,CAM_5235,14
SEG_10_9,1,19,CAM_5233,16
SEG_10_9,20,30,CAM_5233,15
SEG_10_9,31,35,CAM_5233,14
SEG_10_8,37,37,CAM_5233,13
SEG_10_9,36,36,CAM_5233,13
SEG_10_8,38,40,CAM_5233,12
SEG_10_8,41,44,CAM_5233,11
SEG_10_8,45,54,CAM_5234,14
SEG_10_8,55,79,CAM_5234,13
SEG_10_8,80,103,CAM_5234,12
SEG_10_8,104,146,CAM_5234,11
SEG_10_7,147,161,CAM_5235,15
SEG_10_10,1,33,CAM_5233,17
SEG_10_10,34,62,CAM_5232,11
SEG_10_11,63,63,CAM_5232,11
SEG_10_11,64,106,CAM_5232,12
SEG_10_11,107,131,CAM_5232,13
SEG_10_11,132,161,CAM_5232,14
SEG_10_17,1,33,CAM_5230,20
SEG_10_16,34,43,CAM_5231,19
SEG_10_16,44,54,CAM_5231,18
SEG_10_16,55,63,CAM_5231,17
SEG_10_15,64,93,CAM_5231,16
SEG_10_15,94,117,CAM_5231,15
SEG_10_15,118,129,CAM_5231,14
